"kindergarten_ID","week_number","water_applications","herbs","exercise","nutrition","order_of_life","AD_PS_arm_pouring","AD_PS_foot_pouring","AD_PS_face_pouring","AD_PS_hand_bath","AD_PS_arm_bath","AD_PS_foot_bath","AD_PS_knee_pouring","AD_PS_leg_pouring","AD_PS_dew_snow_treading","AD_PS_air_bath","AD_PS_alternating_bath","AD_E_arm_pouring","AD_E_foot_pouring","AD_E_face_pouring","AD_E_hand_bath","AD_E_arm_bath","AD_E_foot_bath","AD_E_knee_pouring","AD_E_leg_pouring","AD_E_dew_snow_treading","AD_E_air_bath","AD_E_alternating_bath","AD_C_arm_pouring","AD_C_foot_pouring","AD_C_face_pouring","AD_C_hand_bath","AD_C_arm_bath","AD_C_foot_bath","AD_C_knee_pouring","AD_C_leg_infusion","AD_C_dew_snow_treading","AD_C_air_bath","AD_C_alternating_bath"
"MZA1",9,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
"MTB1",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"PBB1",9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"RGB1",9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MZA1",10,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,4,0,0,1,4,0,0,0,0,0
"MTB1",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"PBB1",10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"RGB1",10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MZA1",11,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,1
"MTB1",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"PBB1",11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"RGB1",11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MZA1",12,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1
"MTB1",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"PBB1",12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"RGB1",12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
"MZA1",13,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
"MTB1",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"PBB1",13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
